Cheese Steaks,0,beef,"{'Chip Steak': ['Each', 2], 'Sub Roll': ['Each', 2], 'American Cheese': ['Slice', 2], 'Yellow Onion': ['Each', 0.25], 'French Fries': ['Each', 0.5]}",sandwich,None
Chicken Curry with Rice,0,chicken,"{'Chicken Breast': ['Lb', 1], 'Yellow Curry Powder': ['Tbsp', 1], 'Garlic Powder': ['Tsp', 1.5], 'Ground Ginger': ['Tsp', 1], 'Broccoli': ['Each', 1], 'Coconut Oil': ['Tbsp', 2], 'Rice': ['Cup', 1]}",curry,None
Chicken Fajitas,0,chicken,"{'New Ingredients': [None, 1]}",tacos,None
Chicken Fried Rice,0,chicken,"{'Chicken Breast': ['Lb', 1], 'Veggie Mix': ['Each', 1], 'Rice': ['Cup', 2], 'Soy Sauce': ['Tbsp', 3], 'Garlic Powder': ['Tsp', 1], 'Ground Ginger': ['Tsp', 1], 'Red Pepper Flakes': ['Tsp', 0.25], 'Brown Sugar': ['Tbsp', 1], 'Sesame Oil': ['Tbsp', 0.5]}",stir fry,None
Chicken Mango Curry,1,chicken,"{'Coconut Oil': ['Tbsp', 2], 'Yellow Onion': ['Each', 1], 'Chicken Breast': ['Lb', 1], 'Yellow Curry Powder': ['Tbsp', 1], 'Cayenne Pepper': ['Tsp', 1], 'Garlic': ['Clove', 4], 'Ginger': ['Each', 1], 'Zucchini': ['Each', 2], 'Broccoli': ['Each', 1], 'Coconut Milk': ['Oz', 14], 'Mango': ['Each', 1], 'Lime': ['Each', 1], 'Rice': ['Cup', 1]}",curry,None
Chicken Noodle Soup,0,chicken,"{'Chicken Stock': ['Cup', 4], 'Olive Oil': ['Tbsp', 1], 'Yellow Onion': ['Each', 0.5], 'Celery': ['Rib', 1], 'Carrot': ['Each', 1], 'Fusilli': ['Oz', 16], 'Chicken Breast': ['Lb', 1], 'Flat-Leaf Parsley': ['Tbsp', 2]}",soup,None
Chicken Paprikash,1,chicken,"{'Sour Cream': ['Cup', 0.5], 'Chicken Thigh Skin-on': ['Each', 6], 'Yellow Onion': ['Each', 1], 'Garlic': ['Clove', 4], 'Unsalted Butter': ['Tbsp', 3], 'Paprika': ['Tbsp', 3], 'Cayenne Pepper': ['Tsp', 0.25], 'Crushed Tomatoes': ['Oz', 15], 'Egg Noodles': ['Oz', 12]}",None,None
Chicken Stir Fry,0,chicken,"{'Chicken Breast': ['Lb', 1], 'Veggie Mix': ['Each', 1], 'Noodles': ['Each', 1], 'Soy Sauce': ['Tbsp', 3], 'Garlic Powder': ['Tsp', 1], 'Ground Ginger': ['Tsp', 1], 'Red Pepper Flakes': ['Tsp', 0.25], 'Brown Sugar': ['Tbsp', 1], 'Sesame Oil': ['Tbsp', 0.5]}",stir fry,None
Chicken with Pasta-Roni,0,chicken,"{'Chicken Breast': ['Lb', 1], 'Pasta-Roni': ['Each', 1], 'Butter': ['Tbsp', 2], 'Milk': ['Cup', 0.66]}",pasta,None
Chicken with Rice-A-Roni,0,chicken,"{'Chicken Breast': ['Lb', 1], 'Rice-A-Roni': ['Each', 1], 'Butter': ['Tbsp', 2]}",stir fry,None
Chicken with Sage Dumplings,1,chicken,"{'Whole Chicken': ['Each', 1], 'Yellow Onion': ['Each', 1], 'Whole Clove': ['Each', 4], 'Carrot': ['Each', 3], 'Celery': ['Rib', 2], 'Garlic': ['Clove', 2], 'Curly Parsley': ['Tbsp', 1], 'Bay Leaf': ['Each', 1], 'Dried Thyme': ['Tsp', 1], 'Whole Peppercorn': ['Each', 6], 'Chicken Stock': ['Cup', 4], 'Whole Milk': ['Cup', 2.25], 'Butter': ['Tbsp', 4], 'Flour': ['Cup', 2.25], 'Baking Powder': ['Tsp', 2], 'Fresh Sage': ['Tbsp', 1], 'Shortening': ['Tbsp', 4]}",None,None
Clam Chowder,0,seafood,"{'Bacon': ['Strip', 8], 'Butter': ['Tbsp', 2], 'Celery': ['Rib', 2], 'Leek': ['Each', 1], 'Yellow Onion': ['Each', 1], 'Garlic': ['Clove', 3], 'Gold Potato': ['Each', 4], 'Chicken Stock': ['Cup', 1], 'Clam Juice': ['Each', 1], 'White Pepper': ['Tsp', 0.5], 'Dried Thyme': ['TP', 0.5], 'Flour': ['Cup', 0.33], 'Half-and-Half': ['Cup', 2], 'Clams': ['Each', 3], 'Bay Leaf': ['Each', 1]}",soup,potato soup
Coq au Vin,1,chicken,"{'Bacon': ['Strip', 8], 'Chicken Thigh Skin-on': ['Each', 8], 'Garlic': ['Clove', 4], 'Shallot': ['Each', 4], 'Dried Thyme': ['Tsp', 2], 'Bay Leaf': ['Each', 1], 'Tomato Paste': ['Tbsp', 2], 'Chicken Stock': ['Cup', 4], 'Red Wine': ['Cup', 1.5], 'Carrot': ['Each', 3], 'Butter': ['Tbsp', 3], 'Flour': ['Cup', 0.25], 'Crimini Mushrooms': ['Oz', 8]}",None,None
Corned Beef with Cabbage,1,beef,"{'Corned Beef Brisket': ['Lb', 3], 'Red Potato': ['Each', 10], 'Carrot': ['Each', 5], 'Cabbage': ['Each', 1]}",soup,beef stew
Cottage Pie,1,beef,"{'Olive Oil': ['Tbsp', 1], 'Ground Beef': ['Lb', 1.5], 'Yellow Onion': ['Each', 1], 'Carrot': ['Each', 2], 'Celery': ['Rib', 3], 'Garlic': ['Clove', 3], 'Flour': ['Cup', 0.25], 'Tomato Paste': ['Tbsp', 1], 'Dried Thyme': ['Tsp', 0.25], 'Paprika': ['Tsp', 0.5], 'Beef Stock': ['Cup', 1], 'Red Wine': ['Cup', 0.75], 'Worcestershire Sauce': ['Tbsp', 4], 'Bay Leaf': ['Each', 2], 'Gold Potato': ['Each', 4], 'Milk': ['Cup', 0.75], 'Butter': ['Tbsp', 2]}",None,None
Dimlama,1,beef,"{'Beef Chuck Roast': ['Lb', 2], 'Ghee': ['Tbsp', 2], 'Cumin Seeds': ['Tsp', 1.5], 'Yellow Onion': ['Each', 1], 'Gold Potato': ['Each', 5], 'Carrot': ['Each', 3], 'Garlic': ['Each', 1], 'Fresh Dill': ['Tbsp', 2], 'Cabbage': ['Each', 1]}",soup,beef stew
Ground Beef Tacos,0,beef,"{'Ground Beef': ['Lb', 1], 'Garlic Powder': ['Tsp', 0.25], 'Onion Powder': ['Tsp', 0.25], 'Oregano': ['Tsp', 0.25], 'Chili Powder': ['Tbsp', 1], 'Paprika': ['Tsp', 0.5], 'Red Pepper Flakes': ['Tsp, 0.25], 'Ground Cumin': ['Tsp, 1.5], 'Taco Shells': ['Each', 6], 'Shredded Cheddar': ['Cup', 0.5]}",tacos,None
Haluski Noodles,0,pork,"{'Egg Noodles': ['Oz', 8], 'Bacon': ['Strip', 4], 'Butter': ['Tbsp', 4], 'Yellow Onion': ['Each', 0.5], 'Cabbage': ['Each', 0.5]}",None,None
Hot Dogs,0,pork,"{'Hot Dog': ['Each', 2], 'Hot Dog Bun': ['Each', 2], 'French Fries': ['Each', 0.5]}",hot dog,None
Kielbasa with Cabbage and Pierogi,0,pork,"{'Kielbasa Polska': ['Each', 1], 'Cabbage': ['Each', 1], 'Pierogi': ['Each', 1], 'Olive Oil': ['Tbsp', 1], 'Garlic Powder': ['Tsp', 1]}",None,None
Loaded Potato Soup,0,pork,"{'Red Potato': ['Each', 4], 'Olive Oil': ['Tbsp', 2], 'Yellow Onion': ['Each', 0.5], 'Chicken Stock': ['Cup', 1.25], 'Flour': ['Cup', 0.25], 'Milk': ['Cup', 2], 'Sour Cream': ['Cup', 0.25], 'Bacon': ['Strip', 3], 'Shredded Cheddar': ['Cup', 0.33], 'Green Onions': ['Each', 1]}",soup,potato soup
Meatless Burgers,0,veggie,"{'Veggie Burger': ['Each', 2], 'American Cheese': ['Slice', 2], 'Hamburger Bun': ['Each', 2], 'French Fries': ['Each', 0.5]}",burgers,None
New Beef,1,beef,"{'New Ingredients': [None, 1]}",new,None
New Chicken,1,chicken,"{'New Ingredients': [None, 1]}",new,None
New Pork,1,pork,"{'New Ingredients': [None, 1]}",new,None
New Seafood,1,seafood,"{'New Ingredients': [None, 1]}",new,None
New Veggie,1,veggie,"{'New Ingredients': [None, 1]}",new,None
Pizza,0,beef,"{'Pizza': ['Each', 1]}",None,None
Polish Barley Vegetable Soup,0,veggie,"{'Pearl Barley': ['Cup', 1], 'Butter': ['Cup', 0.5], 'Onion': ['Each', 1], 'Carrot': ['Each', 3], 'Yellow Turnip': ['Each', 2], 'Leek': ['Each', 2], 'Celery': ['Rib', 2], 'Brown Mushroom': ['Oz', 4], 'Dry Marjoram': ['Tsp', 1], 'Dry Parsley': ['Tbsp', 1], 'Beef Stock': ['Cup', 12]}",soup,None
Pork Fajitas,0,pork,"{'Brown Sugar': ['Tbsp', 1], 'Paprika': ['Tbsp', 1], 'Chili Powder': ['Tsp', 1.5], 'Garlic Powder': ['Tsp', 1.5], 'Onion Powder': ['Tsp', 1.5], 'Ground Cumin': ['Tsp', 1.5], 'Ground Allspice': ['Tsp', 0.125], 'Pork Chop': ['Each', 4], 'Lime': ['Each', 1], 'Olive Oil': ['Cup', 0.25], 'Yellow Bell Pepper': ['Each', 1], 'Poblano Chile': ['Each', 1], 'Yellow Onion': ['Each', 1], 'Tortillas': ['Each', 6]}",tacos,None
Pork Fried Rice,0,pork,"{'Pork Chop': ['Each', 2], 'Veggie Mix': ['Each', 1], 'Rice': ['Cup', 2], 'Soy Sauce': ['Tbsp', 3], 'Garlic Powder': ['Tsp', 1], 'Ground Ginger': ['Tsp', 1], 'Red Pepper Flakes': ['Tsp', 0.25], 'Brown Sugar': ['Tbsp', 1], 'Sesame Oil': ['Tbsp', 0.5]}",stir fry,None
Pork Stir Fry,0,pork,"{'Pork Chop': ['Each', 2], 'Veggie Mix': ['Each', 1], 'Noodles': ['Each', 1], 'Soy Sauce': ['Tbsp', 3], 'Garlic Powder': ['Tsp', 1], 'Ground Ginger': ['Tsp', 1], 'Red Pepper Flakes': ['Tsp', 0.25], 'Brown Sugar': ['Tbsp', 1], 'Sesame Oil': ['Tbsp', 0.5]}",stir fry,None
Pork with Rice-A-Roni,0,pork,"{'Pork Chop': ['Each', 2], 'Rice-A-Roni': ['Each', 1], 'Butter': ['Tbsp', 2]}",stir fry,None
Potato Soup,0,pork,"{'Bacon': ['Strip', 8], 'Butter': ['Tbsp', 2], 'Celery': ['Each', 2], 'Leek': ['Each', 1], 'Yellow Onion': ['Each', 1], 'Garlic': ['Clove', 3], 'Gold Potato': ['Each', 4], 'Chicken Stock': ['Cup', 1], 'White Pepper': ['Tsp', 0.5], 'Dried Thyme': ['Tsp', 0.5], 'Flour': ['Cup', 0.33], 'Half-and-Half': ['Cup', 2], 'Bay Leaf': ['Each', 1]}",soup,potato soup
Sausage with Roasted Veggies,0,pork,"{'Italian Sausage': ['Each', 2], 'Carrot': ['Each', 3], 'Red Potato': ['Each', 4]}",None,None
Sausages,0,pork,"{'Sausage': ['Each', 2], 'Hot Dog Bun': ['Each', 2], 'French Fries': ['Each', 0.5]}",hot dog,None
Schnitzel,1,pork,"{'Pork Chop': ['Each', 8], 'Flour': ['Cup', 1], 'Garlic Powder': ['Tsp', 1], 'Paprika': ['Tsp', 1], 'Egg': ['Each', 1], 'Milk': ['Cup', 0.5], 'Brown Mustard': ['Tsp', 2]}",None,None
Shredded Beef Tacos,0,beef,"{'New Ingredients': [None, 1]}",tacos,None
Shredded Chicken Tacos,0,chicken,"{'New Ingredients': [None, 1]}",tacos,None
Spaghetti,0,pork,"{'Ground Italian Sausage': ['Lb', 1], 'Tomato Sauce': ['Each', 1], 'Spaghetti': ['Each', 1]}",pasta,None
Steak,1,beef,"{'Steak': ['Lb', 1], 'Gold Potato': ['Each', 4], 'Butter': ['Tbsp', 2], 'Canola Oil': ['Tbsp', 1]}",None,None
Tortellini Soup,0,pork,"{'Ground Italian Sausage': ['Lb', 1], 'Butter': ['Tbsp', 3], 'Garlic': ['Clove', 2], 'Celery': ['Rib', 2], 'Carrot': ['Each', 1], 'Yellow Onion': ['Each', 0.5], 'Chicken Stock': ['Cup', 8], 'Tortellini': ['Oz', 12], 'Curly Parsley': ['Tbsp', 2], 'Ground Nutmeg': ['Tsp', 1], 'Spinach': ['Oz', 8]}",soup,None
Veggie Fried Rice,0,veggie,"{'Veggie Mix': ['Each', 1], 'Rice': ['Cup', 2], 'Soy Sauce': ['Tbsp', 3], 'Garlic Powder': ['Tsp', 1], 'Ground Ginger': ['Tsp', 1], 'Red Pepper Flakes': ['Tsp', 0.25], 'Brown Sugar': ['Tbsp', 1], 'Sesame Oil': ['Tbsp', 0.5]}",stir fry,None
Veggie Stir Fry,0,veggie,"{'Veggie Mix': ['Each', 1], 'Noodles': ['Each', 1], 'Soy Sauce': ['Tbsp', 3], 'Garlic Powder': ['Tsp', 1], 'Ground Ginger': ['Tsp', 1], 'Red Pepper Flakes': ['Tsp', 0.25], 'Brown Sugar': ['Tbsp', 1], 'Sesame Oil': ['Tbsp', 0.5]}",stir fry,None
Zuppa Toscana,0,pork,"{'Ground Italian Sausage': ['Lb', 1], 'Garlic': ['Clove', 2], 'Yellow Onion': ['Each', 1], 'Russet Potato': ['Each', 4], 'Chicken Stock': ['Cup', 4], 'Kale': ['Lb', 0.5], 'Heavy Cream': ['Cup', 0.75]}",soup,potato soup
